Name,TotalLicenses,UsedLicenses
Analytics Cloud Integration User,2,2
Authenticated Website,0,0
Authenticated Website,0,0
Chatter External,500,0
Chatter Free,5000,1
Cloud Integration User,1,0
Customer Community,5,0
Customer Community Login,5,0
Customer Community Plus,5,0
Customer Community Plus Login,5,0
Customer Portal Manager Custom,10,0
Customer Portal Manager Standard,10,0
Einstein Agent,201,0
External Apps Login,40,0
External Einstein Agent,201,0
External Identity,9,0
Force.com - App Subscription,2,0
Force.com - Free,4,0
Gold Partner,6,0
High Volume Customer Portal,20,0
High Volume Customer Portal,0,0
Identity,110,0
Partner App Subscription,2,0
Partner Community,5,0
Partner Community Login,5,0
Salesforce,4,4
Salesforce Integration,1,0
Salesforce Platform,6,1
Silver Partner,4,0
Work.com Only,3,0
XOrg Proxy User,0,0
